"25654210-NGRAMS1.txt","Resources in the Vaughan Williams Memorial Library: The Ella Mary Leather Manuscript Collection"
"4522053-NGRAMS1.txt","'Here Comes Me and Our Old Lass, Short of Money and Short of Brass': A Survey of Traditional Drama in North East Derbyshire 1970-8"
"4522807-NGRAMS1.txt","Continuity, Variation, and Authenticity in the English Folk-Rock Movement"
"4434081-NGRAMS1.txt","Irish Folk Songs"
"4522670-NGRAMS1.txt","Cecil Sharp and Morris 1906 - 1909"
"4522647-NGRAMS1.txt","'The Triumph' in England, Scotland and the United States"
"4522720-NGRAMS1.txt","Sowing the Seeds: Cecil Sharp and Charles Marson in Somerset in 1903"
"4522305-NGRAMS1.txt"," Mary Neal and the Espérance Morris"
"4522543-NGRAMS1.txt","Folk Music Education: Initiatives in Finland"
"25654125-NGRAMS1.txt","Devon by Dog Cart and Bicycle: The Folk Song Collaboration of Sabine Baring-Gould and Cecil Sharp, 1904–17"
"25654127-NGRAMS1.txt","Before the Folk-Song Society: Lucy Broadwood and English Folk Song, 1884–97"
"4522667-NGRAMS1.txt","Lomax in London: Alan Lomax, the BBC and the Folk-Song Revival in England, 1950-1958"
"23207675-NGRAMS1.txt","'My book of Manx ballads at last published': A. W. Moore's \"Manx Ballads and Music\" (1896)"
"25654208-NGRAMS1.txt","The Evolution of the 'Eightsome Reel'"
"4522747-NGRAMS1.txt","Painting the World Green: Dafydd Iwan and the Welsh Protest Ballad"
"25654171-NGRAMS1.txt","The Calling-On Song in the North-West of England"
"4522584-NGRAMS1.txt","'The Old English Morris Dance': Theatrical Morris 1801-1880"
"4521768-NGRAMS1.txt","The Lancashire Clog Dance"
"4522648-NGRAMS1.txt","The Roving Artist: Frank Kidson, Pioneer Song Collector"
"4522340-NGRAMS1.txt","A. Claud Wright: Cecil Sharp's Forgotten Dancer"
"4522688-NGRAMS1.txt","Watching Cecil Sharp at Work: A Study of His Records of Sword Dances Using His Field Notebooks"
"4434090-NGRAMS1.txt","Irish Folk Songs"
"23208179-NGRAMS1.txt","Gustav Holst, \"Songs of the West\", and the English Folk Song Movement"
"4522547-NGRAMS1.txt","Resources in the Vaughan Williams Memorial Library: The H. Hurlbutt Albino Folk Music Collection (1913-38)"
"4522689-NGRAMS1.txt","Music at Work: Towards a Historical Overview"
"43590068-NGRAMS1.txt","The 'barbarous old English jig': The 'Black Joke' in the Eighteenth and Nineteenth Centuries"
"43590069-NGRAMS1.txt","Five-Time in English Traditional Song"
"4522809-NGRAMS1.txt","Rhythms of Labour: The British Work Song Revisited"
"23208181-NGRAMS1.txt","'You will be interested to hear of a project to form a Folk Song Society': W. H. Gill and the Founding of the Folk-Song Society"
"25654172-NGRAMS1.txt","'That Chief Undercurrent of My Mind': Percy Grainger and the Aesthetics of English Folk Song"
"4522083-NGRAMS1.txt","Hobby-Horse Ceremonies in New Mexico and Great Britain"
"4522472-NGRAMS1.txt","Virtue in a Wilderness: Cecil Sharp's Australian Sojourn, 1882-1892"
"4521239-NGRAMS1.txt","The Petrie Collections of Irish Folk Music"
"4522719-NGRAMS1.txt","Folk Songs in Print: Text and Tradition"
"4521537-NGRAMS1.txt","Early Records of the Morris in England"
"23208180-NGRAMS1.txt","Farmyard Cacophonies: Three Centuries of a Popular Song"
"4434096-NGRAMS1.txt","Irish Folk Songs"
"4521092-NGRAMS1.txt","The Geographical Distribution of English Ceremonial Dance Traditions"
"4522180-NGRAMS1.txt","Oddfellows and Morris Dancing in a Peak District Village"
"4522437-NGRAMS1.txt","The Evolution of Englishness in the English Folksong Revival, 1890-1914"
"4522748-NGRAMS1.txt","Resources in the Vaughan Williams Memorial Library: The Anne Geddes Gilchrist Manuscript Collection"
"4522609-NGRAMS1.txt","The Child Ballads from England and Wales in the James Madison Carpenter Collection"
"4522127-NGRAMS1.txt","Definitions of Folk Dance: Some Explorations"
"4522746-NGRAMS1.txt","Harry Cox and His Friends: Song Transmission in an East Norfolk Singing Community, c. 1896-1960"
"4433933-NGRAMS1.txt","[Songs Collected by George B. Gardiner]"
"4522775-NGRAMS1.txt","Popular Culture in Microcosm: The Manuscript Diaries of Richard Heritage of Marsh Gibbon, Buckinghamshire"
"4521201-NGRAMS1.txt","\"The Dancing Master\": 1651-1728"
"4522607-NGRAMS1.txt","'Dr Carpenter from the Harvard College in America': An Introduction to James Madison Carpenter and His Collection"
"4521936-NGRAMS1.txt","The Goathland Plough Monday Customs"
"4522239-NGRAMS1.txt","Music and Politics in the United States"
"4521848-NGRAMS1.txt","The Hornpipe"
"4522206-NGRAMS1.txt","The Influence of the Folk Song Society on the Greig-Duncan Folk Song Collection: Methodology"
"4520982-NGRAMS1.txt","Observations on the Sword-Dance and Mummers' Play"
"43590070-NGRAMS1.txt","The Death of Queen Jane: Ballad, History, and Propaganda"
"4522373-NGRAMS1.txt","The Role of the School of Scottish Studies in the Folk Music Revival"
"4522082-NGRAMS1.txt","A History of the Rapper Dance"
"4522650-NGRAMS1.txt","Resources in the Vaughan Williams Memorial Library: The Maud Karpeles Manuscript Collection"
"4521227-NGRAMS1.txt","\"The Dancing Master\": 1651-1728: Part III. \"Our Country Dances\""
"4522631-NGRAMS1.txt","Vaughan Williams and the Modes"
"4522583-NGRAMS1.txt","The Dreadful Death of the Bonny Earl of Murray: Clues from the Carpenter Song Collection"
"4521156-NGRAMS1.txt","Some Hobby Horses of Great Britain"
